bias,fit_diagnostics,fit_groups,mae,method,n,n_shots,normalized_rmse,raw_rmse,ridge_alpha,ridge_validation_rmse,seed,source,test_groups,validation_groups
-52.11277770996094,"{'best_validation_normalized_rmse': 0.35305795073509216, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 3123}","['1', '2', '3']",55.942230224609375,scratch,281,3,0.2884907208410781,77.60400390625,,,123,femto,['5'],['4']
5.340639591217041,,"['1', '2', '3']",5.3681440353393555,ridge,281,3,0.025154120860046612,6.766458511352539,0.001,3.7536375522613525,,femto,['5'],['4']
-45.07500457763672,,"['1', '2', '3']",53.083656311035156,transfer_ensemble,281,3,0.2690815411535781,72.3829345703125,,,,femto,['5'],['4']
-60.95537567138672,,"['1', '2', '3']",74.22159576416016,frozen_encoder_ensemble,281,3,0.34775923264514114,93.54723358154297,,,,femto,['5'],['4']
-48.53361511230469,,"['1', '2', '3']",53.523963928222656,scratch_ensemble,281,3,0.2792020889906192,75.10536193847656,,,,femto,['5'],['4']
5.340639591217041,,"['1', '2', '3']",5.3681440353393555,ridge_ensemble,281,3,0.025154120860046612,6.766458511352539,,,,femto,['5'],['4']
-57.940162658691406,"{'best_validation_normalized_rmse': 0.38084888458251953, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 1042}",['1'],59.50080490112305,transfer,281,1,0.31838345439017485,85.64514923095703,,,42,ims,['5'],['4']
-28.743661880493164,"{'best_validation_normalized_rmse': 0.31491026282310486, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 1123}",['1'],32.31048583984375,transfer,281,1,0.18840277859712623,50.68034744262695,,,123,ims,['5'],['4']
-71.652587890625,"{'best_validation_normalized_rmse': 0.4462214410305023, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': True, 'model_initialization_seed': 1042}",['1'],78.3329086303711,frozen_encoder,281,1,0.3858336551481906,103.78925323486328,,,42,ims,['5'],['4']
-43.06153106689453,"{'best_validation_normalized_rmse': 0.3551502525806427, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': True, 'model_initialization_seed': 1123}",['1'],52.59320831298828,frozen_encoder,281,1,0.25789965661484954,69.37500762939453,,,123,ims,['5'],['4']
-73.48628234863281,"{'best_validation_normalized_rmse': 0.4462144076824188, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 1042}",['1'],78.64730834960938,scratch,281,1,0.3770575824723368,101.4284896850586,,,42,ims,['5'],['4']
-39.107208251953125,"{'best_validation_normalized_rmse': 0.3620739281177521, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 1123}",['1'],47.7799072265625,scratch,281,1,0.2428631977520911,65.3302001953125,,,123,ims,['5'],['4']
7.306710243225098,,['1'],7.306710243225098,ridge,281,1,0.03439119048278128,9.251230239868164,0.0001,1.0449960231781006,,ims,['5'],['4']
-43.34191131591797,,['1'],44.7854118347168,transfer_ensemble,281,1,0.2522997661150964,67.86863708496094,,,,ims,['5'],['4']
-57.357059478759766,,['1'],65.2493896484375,frozen_encoder_ensemble,281,1,0.32139729212651025,86.45587158203125,,,,ims,['5'],['4']
-56.29674530029297,,['1'],62.63134765625,scratch_ensemble,281,1,0.30833979610173673,82.94340515136719,,,,ims,['5'],['4']
7.306710243225098,,['1'],7.306710243225098,ridge_ensemble,281,1,0.03439119048278128,9.251230239868164,,,,ims,['5'],['4']
-68.45757293701172,"{'best_validation_normalized_rmse': 0.4188028573989868, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 2042}","['1', '2']",73.23211669921875,transfer,281,2,0.3565766572065956,95.91912078857422,,,42,ims,['5'],['4']
-49.22745132446289,"{'best_validation_normalized_rmse': 0.3393036127090454, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 2123}","['1', '2']",53.89891052246094,transfer,281,2,0.2816730201465933,75.7700424194336,,,123,ims,['5'],['4']
-89.47826385498047,"{'best_validation_normalized_rmse': 0.5006908774375916, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': True, 'model_initialization_seed': 2042}","['1', '2']",90.28236389160156,frozen_encoder,281,2,0.4338528941555094,116.70642852783203,,,42,ims,['5'],['4']
-63.85243225097656,"{'best_validation_normalized_rmse': 0.4061098098754883, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': True, 'model_initialization_seed': 2123}","['1', '2']",72.59478759765625,frozen_encoder,281,2,0.3474341466967501,93.45978546142578,,,123,ims,['5'],['4']
-63.69270706176758,"{'best_validation_normalized_rmse': 0.3789842128753662, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 2042}","['1', '2']",66.78240966796875,scratch,281,2,0.3208128634881796,86.29866027832031,,,42,ims,['5'],['4']
-50.63284683227539,"{'best_validation_normalized_rmse': 0.35515862703323364, 'best_epoch': 8, 'epochs_ran': 8, 'frozen_encoder': False, 'model_initialization_seed': 2123}","['1', '2']",56.44089126586914,scratch,281,2,0.29544214865532065,79.47393798828125,,,123,ims,['5'],['4']
6.265874862670898,,"['1', '2']",6.549773216247559,ridge,281,2,0.03235068906195545,8.702335357666016,0.01,0.9851158261299133,,ims,['5'],['4']
