bias,fit_diagnostics,fit_groups,mae,method,n,n_shots,normalized_rmse,outer_holdout,raw_rmse,seed,source,test_groups,validation_groups
-3.1674256324768066,"{'best_validation_normalized_rmse': 0.00805732887238264, 'best_epoch': 8, 'epochs_ran': 23, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': 1, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 11042, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'reason': 'scratch_target_only_control', 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.1935393810272217}",['3'],3.937609910964966,trend_residual_scratch,281,1,0.01935997083493244,1,4.975512504577637,42,femto,['1'],['2']
-5.298803806304932,"{'best_validation_normalized_rmse': 0.007889221422374249, 'best_epoch': 15, 'epochs_ran': 30, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': 1, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 11123, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'reason': 'scratch_target_only_control', 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.1935393810272217}",['3'],5.298803806304932,trend_residual_scratch,281,1,0.023641929552248944,1,6.0759758949279785,123,femto,['1'],['2']
-8.025185585021973,"{'best_validation_normalized_rmse': 0.01463811844587326, 'best_epoch': 8, 'epochs_ran': 23, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': 1, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 11456, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'reason': 'scratch_target_only_control', 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.1935393810272217}",['3'],8.047101020812988,trend_residual_scratch,281,1,0.03717626950156364,1,9.554301261901855,456,femto,['1'],['2']
-8.809243202209473,"{'best_validation_normalized_rmse': 0.010159770958125591, 'best_epoch': 1, 'epochs_ran': 16, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': 1, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 13026, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'reason': 'scratch_target_only_control', 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.1935393810272217}",['3'],8.809243202209473,trend_residual_scratch,281,1,0.03803007519198763,1,9.77372932434082,2026,femto,['1'],['2']
-5.743367671966553,"{'best_validation_normalized_rmse': 0.009284017607569695, 'best_epoch': 6, 'epochs_ran': 21, 'frozen_encoder': False, 'requested_warmup_frozen_epochs': 0, 'warmup_frozen_epochs': 0, 'encoder_unfreeze_epoch': 1, 'encoder_anchor_weight': 0.0, 'encoder_was_unfrozen': True, 'require_unfrozen_checkpoint': False, 'best_checkpoint_after_encoder_unfreeze': True, 'residual_target': True, 'bounded_residual_range': [-0.5, 0.5], 'training_seed': 14407, 'trend_prior_method': 'ridge', 'raw_model_validation_available': True, 'target_adapter_alignment': {'enabled': False, 'reason': 'scratch_target_only_control', 'target_labels_used': False, 'validation_or_holdout_used': False}, 'residual_blend_selection_unit': 'seed_ensemble', 'residual_blend_weight': 1.0, 'blend_selection_data': 'chronological_validation_fallback', 'blend_selection_raw_rmse': 2.1935393810272217}",['3'],5.743367671966553,trend_residual_scratch,281,1,0.025003251398583795,1,6.425835609436035,3407,femto,['1'],['2']
-6.0642523765563965,"{'family': 'target_only_ridge', 'alpha': 1.0, 'validation_raw_rmse': 2.3461689949035645}",['3'],6.1299543380737305,ridge,281,1,0.027157961626461044,1,6.979596138000488,,femto,['1'],['2']
-8.6637601852417,"{'family': 'causal_target_time_trend', 'degree': 1, 'trend_prior_selected_for_residual': 'ridge'}",['3'],8.6637601852417,trend_linear,281,1,0.039312314430563364,1,10.103264808654785,,femto,['1'],['2']
-9.496919631958008,"{'family': 'causal_target_time_trend', 'degree': 2, 'trend_prior_selected_for_residual': 'ridge'}",['3'],9.63896369934082,trend_quadratic,281,1,0.042898467542596366,1,11.024906158447266,,femto,['1'],['2']
-10.436098098754883,"{'family': 'causal_target_time_trend', 'degree': 1, 'trend_prior_selected_for_residual': 'ridge'}",['3'],10.436098098754883,trend_huber,281,1,0.04335568943840057,1,11.142412185668945,,femto,['1'],['2']
-6.0642523765563965,"{'selected_method': 'ridge', 'selection_policy': 'ridge', 'selected_beta': [0.4516537905633861, -0.11653396280862045, -0.13622470948170953, 0.0, 0.0, 0.0, -0.010677957957878867, -0.02209347834578186, 0.01357227757213791, -0.012815318662182856, -0.022594005074487333, -0.0224497001652512, 0.02675950345276127, -0.0030994676000778445, -0.03926879831819616], 'selected_diagnostics': {'family': 'causal_target_ridge_prior', 'alpha': 1.0, 'validation_raw_rmse': 2.3461689949035645}, 'candidates': {'trend_linear': {'degree': 1, 'endpoint_scale_from_fit_groups': 299.0, 'validation_raw_rmse': 9.2540864944458, 'beta': [0.9743326142266551, -1.0916427659074501]}, 'trend_quadratic': {'degree': 2, 'selected_alpha': 0.1, 'endpoint_scale_from_fit_groups': 299.0, 'validation_raw_rmse': 9.797005653381348, 'beta': [1.0086442810663983, -1.2766108083734944, 0.17972029690651067]}, 'trend_huber': {'degree': 1, 'selected_delta': 2.0, 'endpoint_scale_from_fit_groups': 299.0, 'validation_raw_rmse': 9.873392105102539, 'beta': [0.9951724915205147, -1.1496077021953863]}, 'ridge': {'family': 'causal_target_ridge_prior', 'alpha': 1.0, 'validation_raw_rmse': 2.3461689949035645, 'beta': [0.4516537905633861, -0.11653396280862045, -0.13622470948170953, 0.0, 0.0, 0.0, -0.010677957957878867, -0.02209347834578186, 0.01357227757213791, -0.012815318662182856, -0.022594005074487333, -0.0224497001652512, 0.02675950345276127, -0.0030994676000778445, -0.03926879831819616]}}, 'full_life_target_labels_used_for_prior': False, 'holdout_labels_used_for_prior': False}",['3'],6.1299543380737305,trend_prior,281,1,0.027157961626461044,1,6.979596138000488,,femto,['1'],['2']
-5.5822038650512695,,['3'],5.68412446975708,trend_residual_transfer_ensemble,281,1,0.02497565978232061,1,6.4187445640563965,,femto,['1'],['2']
-5.5822038650512695,,['3'],5.68412446975708,trend_residual_transfer_calibrated_ensemble,281,1,0.02497565978232061,1,6.4187445640563965,,femto,['1'],['2']
-6.629740238189697,,['3'],6.629740238189697,trend_residual_transfer_affine_calibrated_ensemble,281,1,0.02697334771954132,1,6.932150363922119,,femto,['1'],['2']
-5.5822038650512695,,['3'],5.68412446975708,ridge_calibrated_transfer_ensemble,281,1,0.02497565978232061,1,6.4187445640563965,,femto,['1'],['2']
-6.208804607391357,,['3'],6.347228050231934,trend_residual_scratch_calibrated_ensemble,281,1,0.027974729871935416,1,7.189505577087402,,femto,['1'],['2']
