domain,n_shot,arm,raw_rmse,mae,bias,normalized_rmse,n_outer_folds,folds_better_than_scratch,gain_pct_vs_scratch
battery,1,frozen_encoder_ablation,53.72413708463913,47.52442657665515,44.097489597530846,0.5658566782607156,3,,
battery,1,ridge,53.698804477156806,47.08174828806249,45.30068554124591,0.5685193386492267,3,,
battery,1,scratch,50.09839064396126,43.41849473534452,41.18575484068336,0.530727491196631,3,,
battery,1,time_trend,15.024910740060527,14.778509626212623,0.3326293272271445,0.16247571092040095,3,,
battery,1,transfer,51.11887696403452,44.56726829730619,42.06273578108577,0.5396970025542785,3,1,-2.036964275610453
battery,2,frozen_encoder_ablation,38.6695403165353,32.191890001146284,27.666305843346436,0.3781900271627762,3,,
battery,2,ridge,49.60049941374826,42.853518786486376,40.17205505030213,0.4783711654789225,3,,
battery,2,scratch,47.12826931814448,40.22594160079296,37.87045426084595,0.45641775579254995,3,,
battery,2,time_trend,61.11638636835562,54.5308428272016,7.870707321101382,0.5847147472948239,3,,
battery,2,transfer,46.213371128132934,39.24984014495691,35.87439088429689,0.4498214926943507,3,1,1.941293841781945
rw_proxy,1,frozen_encoder_ablation,870.6798872517435,817.3776627262147,543.2202151671341,0.5616948841135395,6,,
rw_proxy,1,ridge,1142.2290042016714,1086.7983303363658,880.219887373309,0.6958382420371357,6,,
rw_proxy,1,scratch,988.6986868746022,935.2741703009948,690.2261076331315,0.6180870022492265,6,,
rw_proxy,1,time_trend,977.7845744716906,954.5812834483531,441.1964937571344,0.6117303495446135,6,,
rw_proxy,1,transfer,883.6865851022703,831.1712129467109,565.3319313522617,0.5696170304157291,6,5,10.621244183532601
rw_proxy,2,frozen_encoder_ablation,750.5935263405037,687.1894361011664,380.6419513480971,0.5229098722801023,6,,
rw_proxy,2,ridge,962.8369681240721,901.2146529180332,642.4497139832629,0.6325711372047826,6,,
rw_proxy,2,scratch,835.4561602551084,774.6550330882114,477.7214273132877,0.5696998473495971,6,,
rw_proxy,2,time_trend,1371.288516640713,1230.8678951129698,938.9532790220095,0.915022674385347,6,,
rw_proxy,2,transfer,768.2014415623927,705.6409685805775,404.5936638365326,0.5317710000241553,6,5,8.050059583279555
rw_proxy,3,frozen_encoder_ablation,1110.8385687494733,1050.5162847380245,782.3670276776252,0.5858460416996084,6,,
rw_proxy,3,ridge,1251.091478621497,1168.9732612513574,909.6908122311143,0.6403612226618466,6,,
rw_proxy,3,scratch,1193.7918860167001,1134.5589557808478,867.2629641414684,0.6191306881018247,6,,
rw_proxy,3,time_trend,2012.6867772523292,1803.695659389897,1560.7552181266165,1.031249087751842,6,,
rw_proxy,3,transfer,1212.6688934364813,1150.5571051900845,871.712338093431,0.6232679007926228,6,2,-1.5812645102462288
